 Ranking , Company , Sector ,"G?nero
123,Seguros Monterrey New York Life,Seguros y fianzas,H,Estados Unidos," 345†315,00 "," 24†296,00 ","-41†885,00 "," 142†274,00 "," 1†268†978,00 "," 1†500,00 "," 110,00 "," 158,00 ",-13
124,Mondel?z M?xico,Alimentos y bebidas,H,Estados Unidos," 34†008,00 ", nd ," 2†092,00 ", nd , nd ," 8†000,00 "," 119,00 ", nd ,-5
125,A.P. Moller Maersk M?xico,Log?stica y transporte,H,Dinamarca," 326†594,00 ", nd , nd , nd , nd , nd ," 137,00 ", nd ,12
126,INTERprotecci?n,Seguros y fianzas,H,M?xico," 32†239,00 ", nd , nd , nd , nd ," 832,00 "," 120,00 ", nd ,-6
127,LyondellBasell de M?xico,Qu?mica y petroqu?mica,H,Estados Unidos/Reino Unido," 318†886,00 ", nd , nd ," 62†619,00 ", nd , nd ," 135,00 ", nd ,8
128,Grupo Profuturo,Servicios financieros,H,M?xico," 310†125,00 "," 31†418,00 "," 4†012,00 "," 999†041,00 "," 881†995,00 "," 5†562,00 "," 162,00 "," 268,00 ",34
129,MAPFRE M?xico,Seguros y fianzas,H,Espa?a," 30†989,00 "," 497,00 ","-224,00 "," 50†126,00 "," 46†749,00 "," 1†402,00 "," 175,00 "," 147,00 ",46
130,Hyundai Motor de M?xico,Armadora,M,Corea," 30†000,00 ", nd , nd , nd , nd , nd ," 124,00 ", nd ,-6
131,Aeropuertos y Servicios Auxiliares,Servicios aeroportuarios,H,M?xico," 296†826,00 "," 6†456,00 "," 18†697,00 "," 16†661,00 "," 62†574,00 "," 2†500,00 "," 187,00 "," 62,00 ",56
132,La Comer,Comercio autoservicio,H,M?xico," 289†063,00 "," 15†431,00 "," 18†085,00 "," 32†996,00 "," 7†563,00 "," 14†532,00 "," 127,00 "," 61,00 ",-5
133,Grupo Gigante,Holding,H,M?xico," 288†186,00 "," 17†847,00 "," 31†918,00 "," 482†897,00 "," 259†566,00 "," 19†865,00 "," 133,00 "," 8,00 ",0
134,Zurich M?xico,Seguros y fianzas,H,Suiza," 285†618,00 ", nd , nd ," 15†667,00 "," 13†692,00 "," 1†238,00 "," 143,00 ", nd ,9
135,Afirme Grupo Financiero,Servicios financieros,H,M?xico," 28†339,00 "," 1†327,00 "," 1†206,00 "," 291†156,00 "," 278†789,00 "," 4†305,00 "," 136,00 "," 107,00 ",1
136,AMResorts,Hoteler?a y turismo,H,Estados Unidos," 28†135,00 ", nd ," 9†966,00 ", nd , nd ," 11†063,00 "," 181,00 ", nd ,45
137,Totalplay,Telecomunicaciones,H,M?xico," 280†888,00 ", nd , nd , nd , nd ," 20†000,00 "," 164,00 ", nd ,27
138,Seguros Banorte,Seguros y fianzas,No aplica,M?xico," 277†871,00 "," 4†060,00 "," 48†004,00 "," 627†138,00 "," 402†459,00 ", nd ," 128,00 "," 181,00 ",-10
139,Kansas City Southern de M?xico,Log?stica y transporte,H,Estados Unidos," 27†724,00 ", nd , nd ," 70†905,00 ", nd , nd ," 129,00 ", nd ,-10
140,Telef?nica Movistar,Telecomunicaciones,H,Espa?a," 27†349,00 ","-10†055,00 "," 1†881,00 "," 25†445,00 "," 22†805,00 "," 1†958,00 "," 117,00 ","-3†809,00 ",-23
141,Grupo Lamosa,Materiales y herramientas,H,M?xico," 271†868,00 "," 34†291,00 "," 64†358,00 "," 32†312,00 "," 189†538,00 "," 9†737,00 "," 165,00 "," 257,00 ",24
142,Unilever de M?xico,Productos de consumo,H,Reino Unido/Pa?ses Bajos," 26†406,00 ", nd , nd , nd , nd ," 7†610,00 "," 139,00 ", nd ,-3
143,Grupo Herdez,Alimentos y bebidas,H,M?xico," 261†532,00 "," 2†078,00 "," 30†066,00 "," 35†969,00 "," 185†462,00 "," 10†342,00 "," 141,00 "," 119,00 ",-2
144,CICSA,Construcci?n,H,M?xico," 25†472,00 "," 405,00 "," 1†078,00 ", nd , nd , nd ," 138,00 ", nd ,-6
145,Elementia,Cemento,H,M?xico," 254†177,00 "," 21†747,00 "," 25†455,00 "," 295†839,00 "," 175†852,00 "," 5†429,00 "," 123,00 "," 181,00 ",-22
146,Grupo Bafar,Alimentos y bebidas,H,M?xico," 25†235,00 "," 1†983,00 "," 2†715,00 "," 24†607,00 "," 14†544,00 "," 13†369,00 "," 158,00 "," 197,00 ",12
147,Grupo Petroil,Petr?leo y Gas,H,M?xico," 25†102,00 ", nd , nd , nd , nd ," 1†939,00 "," 199,00 ", nd ,52
148,Johnson & Johnson M?xico,Productos de consumo,H,Estados Unidos," 25†000,00 ", nd , nd , nd , nd , nd ," 145,00 ", nd ,-3
149,Gentera,Servicios financieros,H,M?xico," 24†889,00 "," 2†347,00 "," 3†831,00 "," 70†272,00 "," 45†438,00 "," 20†211,00 "," 156,00 "," 95,00 ",7
150,Fovissste,Servicios financieros,H,M?xico," 248†319,00 "," 86†653,00 "," 151†977,00 "," 2†338†082,00 "," 2†251†429,00 "," 880,00 "," 131,00 "," 100,00 ",-19
151,Holcim M?xico,Cemento,H,Francia/Suiza," 247†419,00 ", nd , nd ," 11†475,00 ", nd ," 3†200,00 "," 159,00 ", nd ,8
152,Nafin,Servicios financieros,H,M?xico," 24†642,00 ","-6†565,00 ","-4†991,00 "," 499†272,00 "," 459†063,00 "," 880,00 "," 113,00 ","-163,00 ",-39
153,Megacable Holdings,Telecomunicaciones,H,M?xico," 246†342,00 "," 34†686,00 "," 6†818,00 "," 536†453,00 "," 186†378,00 "," 23†980,00 "," 147,00 "," 99,00 ",-6
154,Sears M?xico,Comercio departamental,H,M?xico," 243†647,00 ", nd , nd ," 253†312,00 "," 105†585,00 "," 18†800,00 "," 180,00 ", nd ,26
155,Citibanamex Seguros,Seguros y fianzas,M,Estados Unidos," 243†043,00 "," 10†133,00 "," 15†314,00 "," 1†546†792,00 "," 1†469†568,00 ", nd ," 116,00 "," 131,00 ",-39
156,Danone de M?xico,Alimentos y bebidas,H,Francia," 24†000,00 ", nd , nd ," 20†000,00 ", nd ," 13†878,00 "," 151,00 ", nd ,-5
157,Dow Qu?mica Mexicana,Qu?mica y petroqu?mica,H,Estados Unidos," 24†000,00 ", nd , nd , nd , nd ," 239,00 "," 179,00 ", nd ,22
158,Braskem Idesa SAPI,Qu?mica y petroqu?mica,H,M?xico/Brasil," 23†927,00 ","-1†083,00 "," 9†964,00 "," 82†853,00 "," 101†509,00 "," 923,00 "," 192,00 ", nd ,34
159,Smurfit Kappa M?xico,Papel y cart?n,H,Irlanda," 237†928,00 ", nd , nd , nd , nd , nd ," 155,00 ", nd ,-4
160,Mercado Libre de M?xico,Comercio electr?nico (e-commerce),H,Argentina," 237†805,00 ", nd ," 6†797,00 "," 4†437,00 ", nd ," 4†038,00 "," 233,00 ", nd ,73
161,Ingredion M?xico,Agroindustria,H,Estados Unidos," 23†715,00 ", nd , nd ," 65†484,00 ", nd ," 1†994,00 "," 154,00 ", nd ,-7
162,Tiendas 3B,Comercio autoservicio,H,M?xico," 23†700,00 ", nd , nd , nd , nd ," 13†900,00 "," 171,00 ", nd ,9
163,Cooperativa La Cruz Azu,Cemento,H,M?xico," 23†500,00 ", nd , nd , nd , nd ," 2†000,00 "," 153,00 ", nd ,-10
164,PPG Comex,Qu?mica y petroqu?mica,H,Estados Unidos," 23†300,00 ", nd , nd , nd , nd ," 5†200,00 "," 157,00 ", nd ,-7
165,Plastic Omnium M?xico,Automotriz y autopartes,H,Francia," 232†871,00 ", nd , nd , nd , nd , nd ," 140,00 ", nd ,-25
166,Alpura,Alimentos y bebidas,H,M?xico," 22†849,00 ", nd , nd , nd , nd ," 10†671,00 "," 146,00 ", nd ,-20
167,Prolec,Equipo el?ctrico,H,M?xico," 227†572,00 ", nd , nd , nd , nd ," 7†212,00 "," 169,00 ", nd ,2
168,GE M?xico,Tecnolog?a diversificada,H,Estados Unidos," 22†700,00 ", nd , nd , nd , nd ," 5†200,00 "," 152,00 ", nd ,-16
169,Pensiones Banorte,Seguros y fianzas,H,M?xico," 226†495,00 "," 20†068,00 "," 28†759,00 "," 2†085†059,00 "," 2†000†665,00 ", nd ," 205,00 "," 238,00 ",36
170,Banco del Baj?o,Servicios financieros,H,M?xico," 22†380,00 "," 4†814,00 "," 5†771,00 "," 275†527,00 "," 237†597,00 "," 5†499,00 "," 144,00 "," 127,00 ",-26
171,Sky,Telecomunicaciones,H,M?xico/Estados Unidos," 220†266,00 ", nd ," 85†042,00 ", nd , nd , nd ," 150,00 ", nd ,-21
172,Fibra Uno,Servicios inmobiliarios,H,M?xico," 218†687,00 "," 4†010,00 "," 16†540,00 "," 3†166†215,00 "," 1†456†817,00 "," 999,00 "," 167,00 "," 23,00 ",-5
173,Grupo Autofin M?xico,Holding,H,M?xico," 21†739,00 "," 290,00 "," 2†686,00 "," 92†882,00 "," 22†724,00 "," 6†659,00 "," 142,00 "," 4,00 ",-31
174,Rassini,Automotriz y autopartes,H,M?xico," 21†500,00 ", nd , nd , nd , nd ," 6†600,00 "," 173,00 ", nd ,-1
175,Seguros Inbursa,Seguros y fianzas,H,M?xico," 21†421,00 "," 3†536,00 ","-258,00 "," 74†273,00 "," 52†568,00 ", nd ," 163,00 "," 163,00 ",-12
176,Industrias Martinrea de M?xico,Automotriz y autopartes,H,Canad?," 213†055,00 ", nd , nd ," 114†668,00 ", nd , nd ," 172,00 ", nd ,-4
177,Grupo Cementos de Chihuahua,Cemento,H,M?xico," 210†725,00 "," 30†804,00 "," 46†976,00 "," 454†827,00 "," 18†655,00 "," 2†888,00 "," 160,00 "," 115,00 ",-17
178,Mars M?xico,Alimentos y bebidas,H,Estados Unidos," 21†000,00 ", nd , nd , nd , nd ," 4†693,00 "," 161,00 ", nd ,-17
179,Marzam,Comercio de medicamentos,H,M?xico," 21†000,00 ", nd , nd , nd , nd ," 3†500,00 "," 170,00 ", nd ,-9
180,Grupo Inditex M?xico,Comercio departamental,H,Espa?a," 21†000,00 ", nd , nd , nd , nd ," 1†398,00 "," 230,00 ", nd ,50
181,IDEAL,Infraestructura,H,M?xico," 207†587,00 "," 70†742,00 "," 101†574,00 "," 1†125†714,00 "," 602†468,00 "," 3†039,00 "," 216,00 "," 135,00 ",35
182,Tenneco M?xico,Automotriz y autopartes,H,Estados Unidos," 205†693,00 ", nd , nd ," 49†727,00 ", nd , nd ," 166,00 ", nd ,-16
183,Qualtia Alimentos,Alimentos y bebidas,H,M?xico," 203†386,00 ", nd , nd , nd , nd ," 15†828,00 "," 190,00 ", nd ,7
184,Viva Aerobus,Aerol?neas,H,M?xico," 20†270,00 "," 2†036,00 "," 3†485,00 "," 41†334,00 "," 38†586,00 "," 3†294,00 "," 304,00 "," 741,00 ",120
185,Grupo Industrial Saltillo,Holding,H,M?xico," 202†176,00 "," 3†772,00 "," 7†703,00 "," 247†108,00 "," 120†775,00 "," 6†696,00 "," 196,00 "," 3,00 ",11
186,Chubb Seguros M?xico,Seguros y fianzas,H,Estados Unidos," 202†093,00 "," 979,00 "," 1†041,00 "," 398†972,00 "," 337†513,00 "," 2†986,00 "," 168,00 "," 159,00 ",-18
187,Amazon M?xico,Comercio electr?nico (e-commerce),H,Estados Unidos," 20†000,00 ", nd , nd , nd , nd ," 6†000,00 "," 264,00 ", nd ,77
188,Shell M?xico,Petr?leo y Gas,H,Pa?ses Bajos/Reino Unido," 20†000,00 ", nd , nd , nd , nd ," 166,00 "," 340,00 ", nd ,152
189,Grupo Vidanta,Hoteler?a y turismo,H,M?xico," 19†200,00 ", nd , nd , nd , nd ," 11†030,00 "," 234,00 ", nd ,45
190,GAP (Grupo Aeroportuario del Pac?fico),Servicios aeroportuarios,H,M?xico," 190†149,00 "," 6†044,00 "," 10†906,00 "," 553†231,00 "," 348†945,00 "," 1†992,00 "," 235,00 "," 296,00 ",45
191,Bepensa,Alimentos y bebidas,H,M?xico," 19†000,00 ", nd , nd , nd , nd , nd ," 186,00 ", nd ,-5
192,Grupo Cuprum,Siderurgia y metalurgia,H,M?xico," 19†000,00 ", nd , nd , nd , nd ," 6†700,00 "," 218,00 ", nd ,26
193,Softtek,Computaci?n y servicios,M,M?xico," 18†832,00 ", nd , nd , nd , nd ," 15†700,00 "," 182,00 ", nd ,-11
194,ASUR (Grupo Aeroportuario de Sureste),Servicios aeroportuarios,H,M?xico," 187†847,00 "," 59†837,00 "," 86†577,00 "," 658†307,00 "," 200†607,00 "," 1†555,00 "," 228,00 "," 131,00 ",34
195,Grupo Surman,Automotriz y autopartes,H,M?xico," 18†579,00 ", nd , nd , nd , nd ," 3†878,00 "," 209,00 ", nd ,14
196,Cummins M?xico M?xico,Automotriz y autopartes,H,Estados Unidos," 18†500,00 ", nd , nd , nd , nd ," 9†500,00 "," 212,00 ", nd ,16
197,Navistar International de M?xico,Armadora,H,Estados Unidos," 182†763,00 ", nd , nd , nd , nd , nd ," 239,00 ", nd ,42
198,Crown Envases M?xico,Vidrio y envases,H,Estados Unidos," 181†757,00 ", nd , nd ," 89†427,00 ", nd , nd ," 203,00 ", nd ,5
199,Office Depot de M?xico,Comercio especializado,H,M?xico/Estados Unidos," 181†219,00 "," 9†227,00 ", nd ," 15†559,00 ", nd ," 7†793,00 "," 184,00 ", nd ,-15
200,Conservas La Coste?a,Alimentos y bebidas,H,M?xico," 18†112,00 ", nd , nd , nd , nd ," 4†000,00 "," 176,00 ", nd ,-24
201,Philip Morris M?xico,Bebidas alcoh?licas y tabaco,H,Estados Unidos," 18†000,00 ", nd , nd , nd , nd ," 2†000,00 "," 183,00 ", nd ,-18
202,Grupo Jumex,Alimentos y bebidas,H,M?xico," 18†000,00 ", nd , nd , nd , nd ," 5†500,00 "," 191,00 ", nd ,-11
203,Seguros Atlas,Seguros y fianzas,H,M?xico," 179†559,00 "," 3†716,00 ","-4†803,00 "," 329†687,00 "," 270†542,00 "," 1†320,00 "," 193,00 "," 63,00 ",-10
204,Bancomext,Servicios financieros,H,M?xico," 174†073,00 ","-24†617,00 ","-30†023,00 "," 4†661†217,00 "," 4†306†797,00 "," 554,00 "," 134,00 ","-69,00 ",-70
205,Minera Media Luna,Miner?a,H,Canad?," 17†347,00 "," 3†074,00 "," 5†223,00 "," 27†544,00 "," 5†229,00 "," 1†020,00 "," 189,00 "," 138,00 ",-16
206,Bayer de M?xico,Servicios de salud,H,Alemania," 17†289,00 "," 2†831,00 "," 1†231,00 ", nd , nd ," 5†007,00 "," 188,00 ", nd ,-18
207,Grupo Traxi?n,Log?stica y transporte,H,M?xico," 17†086,00 "," 864,00 "," 1†918,00 "," 221†565,00 "," 108†661,00 "," 17†478,00 "," 207,00 "," 77,00 ",0
208,Banregio,Servicios financieros,H,M?xico," 169†664,00 "," 35†565,00 "," 47†447,00 "," 1†675†361,00 "," 1†431†272,00 "," 5†389,00 "," 174,00 "," 146,00 ",-34
209,Empresas Cablevisi?n,Telecomunicaciones,H,M?xico," 168†492,00 "," 14†195,00 "," 20†689,00 "," 305†976,00 "," 99†085,00 "," 7†729,00 "," 197,00 "," 69,00 ",-12
210,Allianz M?xico,Seguros y fianzas,H,Alemania," 16†637,00 "," 4†653,00 ","-40†694,00 "," 605†558,00 "," 56†059,00 "," 450,00 "," 177,00 "," 103,00 ",-33
211,Brookfield Business Partners M?xico,Servicios financieros,H,Canad?," 164†795,00 ", nd , nd ," 490†975,00 ", nd , nd ," 194,00 ", nd ,-17
212,Henkel Mexicana,Productos de consumo,H,Alemania," 16†237,00 ", nd , nd , nd , nd ," 4†000,00 "," 202,00 ", nd ,-10
213,Mazda Motor de M?xico,Armadora,H,Jap?n," 16†174,00 "," 1†338,00 "," 366,00 "," 3†158,00 "," 6†200,00 "," 77,00 "," 201,00 ", nd ,-12
214,Grupo Axo,Comercio departamental,H,M?xico," 161†107,00 "," 1†757,00 "," 13†961,00 "," 218†252,00 "," 152†323,00 "," 7†020,00 "," 225,00 "," 27,00 ",11
215,Nexteer Automotive M?xico,Automotriz y autopartes,H,Estados Unidos," 160†875,00 ", nd , nd ," 56†839,00 ", nd , nd ," 185,00 ", nd ,-30
216,Tiendas Neto,Comercio autoservicio,H,M?xico," 16†000,00 ", nd , nd , nd , nd ," 9†000,00 "," 206,00 ", nd ,-10
217,Corporaci?n Moctezuma,Cemento,H,Italia/Espa?a," 158†665,00 "," 45†358,00 "," 61†131,00 "," 130†553,00 "," 23†599,00 "," 1†376,00 "," 211,00 "," 424,00 ",-6
218,Grupo Pinsa,Alimentos y bebidas,H,M?xico," 15†781,00 ", nd , nd , nd , nd ," 6†836,00 "," 204,00 ", nd ,-14
219,Posco M?xico,Automotriz y autopartes,H,Corea," 15†500,00 ", nd , nd , nd , nd ," 1†000,00 "," 288,00 ", nd ,69
220,Genomma Lab Internacional,Qu?mica farmac?utica,H,M?xico," 15†459,00 "," 359,00 "," 850,00 "," 21†543,00 "," 114†707,00 "," 1†771,00 "," 213,00 "," 36,00 ",-7
221,Casa de Bolsa Banorte Ixe,Servicios financieros,-,M?xico," 15†364,00 "," 1†229,00 "," 1†655,00 "," 296†169,00 "," 290†077,00 ", nd ," 210,00 "," 202,00 ",-11
222,Siemens M?xico,Tecnolog?a diversificada,H,Alemania," 15†000,00 ", nd , nd , nd , nd ," 4†500,00 "," 224,00 ", nd ,2
223,Superior Industries de M?xico,Automotriz y autopartes,H,Estados Unidos," 14†945,00 ", nd , nd ," 4†200,00 ", nd ," 2†750,00 "," 245,00 ", nd ,22
224,Profuturo Pensiones,Seguros y fianzas,H,M?xico," 149†085,00 "," 614,00 ","-76†197,00 "," 857†979,00 "," 83†867,00 ", nd ," 308,00 "," 318,00 ",84
225,Diconsa,Comercio autoservicio,H,M?xico," 148†568,00 "," 13†623,00 ","-28†876,00 "," 80†624,00 "," 62†078,00 "," 4†000,00 "," 226,00 "," 735,00 ",1
226,BanCoppel,Servicios financieros,H,M?xico," 14†800,00 "," 1†542,00 "," 2†185,00 "," 117†326,00 "," 103†464,00 "," 15†078,00 "," 200,00 "," 111,00 ",-26
227,Farmacias Benavides,Comercio de medicamentos,H,Estados Unidos," 147†465,00 "," 314,00 "," 5†165,00 "," 67†771,00 "," 67†962,00 "," 7†701,00 "," 214,00 ", nd ,-13
228,Zurich Santander Seguros M?xico,Seguros y fianzas,H,Suiza/Espa?a," 147†426,00 "," 20†279,00 "," 17†021,00 "," 206†127,00 "," 176†527,00 ", nd ," 240,00 "," 685,00 ",12
229,Sanofi M?xico,Qu?mica farmac?utica,H,Francia," 14†675,00 "," 562,00 "," 529,00 "," 33†552,00 "," 23†353,00 "," 1†560,00 "," 208,00 "," 55,00 ",-21
230,Avon Cosmetics M?xico,Productos de consumo,H,Brasil," 145†966,00 ", nd , nd ," 133†719,00 ", nd ," 6†300,00 "," 221,00 ", nd ,-9
231,Essity M?xico,Productos de consumo,H,Suecia," 144†738,00 ", nd , nd , nd , nd ," 3†570,00 "," 220,00 ", nd ,-11
232,Grupo La Moderna,Alimentos y bebidas,H,M?xico," 14†400,00 ", nd , nd , nd , nd ," 6†000,00 "," 223,00 ", nd ,-9
233,3M M?xico,Tecnolog?a diversificada,H,Estados Unidos," 14†300,00 ", nd , nd , nd , nd ," 10†000,00 "," 219,00 ", nd ,-14
234,Sociedad Hipotecaria Federal,Servicios financieros,H,M?xico," 14†299,00 "," 1†174,00 "," 1†176,00 "," 133†673,00 "," 107†853,00 "," 420,00 "," 178,00 "," 45,00 ",-56
235,NR Finance M?xico,Servicios financieros,H,M?xico," 14†281,00 "," 5†217,00 "," 6†486,00 "," 82†889,00 "," 57†295,00 "," 1†500,00 "," 198,00 "," 204,00 ",-37
236,Ishop & Mixup,Comercio especializado,H,M?xico," 141†058,00 ", nd , nd ," 44†802,00 "," 35†507,00 "," 2†750,00 "," 256,00 ", nd ,20
237,Almidones Mexicanos,Agroindustria,-,Reino Unido," 14†064,00 "," 1†152,00 "," 1†560,00 "," 59†517,00 "," 29†875,00 "," 400,00 "," 195,00 "," 389,00 ",-42
238,Grupo Hermes,Holding,H,M?xico," 13†825,00 "," 1†147,00 "," 2†260,00 "," 30†998,00 "," 23†947,00 "," 5†363,00 "," 215,00 "," 163,00 ",-23
239,Monex SAB,Servicios financieros,H,M?xico," 135†365,00 "," 1†654,00 "," 2†184,00 "," 183†826,00 "," 171†393,00 "," 2†636,00 "," 222,00 "," 133,00 ",-17
240,ALPLA M?xico,Qu?mica y petroqu?mica,H,Austria," 13†508,00 ", nd , nd , nd , nd ," 2†700,00 "," 263,00 ", nd ,23
241,Grupo Kaltex,Productos de consumo,H,M?xico," 133†652,00 ", nd , nd , nd , nd , nd ," 217,00 ", nd ,-24
242,Cr?dito Real,Servicios financieros,H,M?xico," 132†916,00 "," 1†268,00 "," 336,00 "," 734†522,00 "," 559†956,00 "," 660,00 "," 229,00 "," 7,00 ",-13
243,The Chemours Company Mexicana,Qu?mica y petroqu?mica,M,Estados Unidos," 13†283,00 ", nd , nd , nd , nd ," 512,00 "," 252,00 ", nd ,9
244,Vista Oil & Gas,Petr?leo y gas,H,M?xico," 132†298,00 "," 10†275,00 "," 42†711,00 "," 344†561,00 "," 228†887,00 "," 397,00 "," 359,00 "," 89,00 ",115
245,Newmont Goldcorp de M?xico,Miner?a,H,Estados Unidos," 130†232,00 ", nd ," 198†593,00 "," 134†263,00 ", nd ," 7†400,00 "," 356,00 ", nd ,111
246,Grupo Omnilife,Productos de consumo,H,M?xico," 13†000,00 ", nd , nd , nd , nd ," 3†300,00 "," 227,00 ", nd ,-19
247,TV Azteca,Medios de comunicaci?n,H,M?xico," 128†762,00 "," 3†528,00 "," 2†960,00 "," 28†444,00 "," 26†779,00 "," 2†017,00 "," 258,00 "," 212,00 ",11
248,Minera Frisco,Miner?a,H,M?xico," 128†439,00 ","-17†547,00 "," 14†456,00 "," 417†321,00 "," 306†787,00 "," 4†310,00 "," 270,00 ","-159,00 ",22
